State,Year,Male,Female,Total Pop
Alaska,2009,1196,1341,683142
Alabama,2009,2879,3306,4633360
Arkansas,2009,2080,2213,2838143
Arizona,2009,4144,3814,6324865
California,2009,9341,9954,36308527
Colorado,2009,3680,3692,4843211
Connecticut,2009,2259,2587,3494487
District of Columbia,2009,1148,999,588433
Delaware,2009,1084,1686,863832
Florida,2009,7572,7053,18222420
Georgia,2009,4808,5300,9497667
Hawaii,2009,1786,1848,1280241
Iowa,2009,2336,2032,2978880
Idaho,2009,1757,1713,1492573
Illinois,2009,5225,5535,12785043
Indiana,2009,3719,3705,6342469
Kansas,2009,2655,2123,2777835
Kentucky,2009,2692,2391,4252000
Louisiana,2009,2696,2614,4411546
Massachusetts,2009,4068,4185,6511176
Maryland,2009,3670,4177,5637418
Maine,2009,1508,1690,1316380
Michigan,2009,4798,4829,10039208
Minnesota,2009,3455,3400,5188581
Missouri,2009,3395,3251,5904382
Mississippi,2009,2285,2461,2922240
Montana,2009,1505,1441,956257
North Carolina,2009,4728,4777,9045705
North Dakota,2009,991,1025,639725
Nebraska,2009,1650,1770,1772124
New Hampshire,2009,1812,1773,1315419
New Jersey,2009,4719,4924,8650548
New Mexico,2009,1999,2081,1964860
Nevada,2009,2315,2482,2545763
New York,2009,7260,7292,19423896
Ohio,2009,5116,4801,11511858
Oklahoma,2009,2534,2472,3610073
Oregon,2009,2849,2927,3727407
Pennsylvania,2009,4805,5373,12516596
Puerto Rico,2009,2844,2966,3940109
Rhode Island,2009,1457,1434,1057381
South Carolina,2009,2788,2813,4416867
South Dakota,2009,1219,1230,796513
Tennessee,2009,3399,3505,6158953
Texas,2009,8660,8874,23819042
Utah,2009,2284,2273,2651816
Virginia,2009,4035,4798,7721730
Vermont,2009,882,965,620414
Washington,2009,3801,4186,6465755
Wisconsin,2009,3440,3920,5599420
West Virginia,2009,1525,1605,1811403
Wyoming,2009,1178,1001,523949
Alabama,2010,3123,2794,4712651
Alaska,2010,1185,1052,691189
Arizona,2010,3693,3900,6246816
Arkansas,2010,2191,2383,2872684
California,2010,11041,11133,36637290
Colorado,2010,3638,3817,4887061
Connecticut,2010,3515,2796,3545837
Delaware,2010,1142,1399,881278
District of Columbia,2010,1128,1119,584400
Florida,2010,7608,7462,18511620
Georgia,2010,5115,4907,9468815
Hawaii,2010,1849,2064,1333591
Idaho,2010,1673,1633,1526797
Illinois,2010,6063,4963,12745359
Indiana,2010,3290,3227,6417398
Iowa,2010,2244,2020,3016267
Kansas,2010,2258,2501,2809329
Kentucky,2010,2875,2938,4285828
Louisiana,2010,3210,3374,4429940
Maine,2010,1430,1524,1327665
Maryland,2010,3620,4030,5696423
Massachusetts,2010,4019,4364,6477096
Michigan,2010,3918,4672,9952687
Minnesota,2010,3182,3389,5241914
Mississippi,2010,2071,2536,2941991
Missouri,2010,3037,3245,5922314
