State,year,Poverty(Pop),Income ($)
Alaska,2009,683142,1137
Alabama,2009,4633360,14235
Arkansas,2009,2838143,13179
Arizona,2009,6324865,10486
California,2009,36308527,34197
Colorado,2009,4843211,8406
Connecticut,2009,3494487,3344
District of Columbia,2009,588433,105
Delaware,2009,863832,1494
Florida,2009,18222420,32263
Georgia,2009,9497667,20106
Hawaii,2009,1280241,849
Iowa,2009,2978880,9547
Idaho,2009,1492573,6481
Illinois,2009,12785043,25388
Indiana,2009,6342469,25888
Kansas,2009,2777835,8048
Kentucky,2009,4252000,28468
Louisiana,2009,4411546,11908
Massachusetts,2009,6511176,10436
Maryland,2009,5637418,6315
Maine,2009,1316380,6101
Michigan,2009,10039208,34008
Minnesota,2009,5188581,11057
Missouri,2009,5904382,23239
Mississippi,2009,2922240,8620
Montana,2009,956257,4318
North Carolina,2009,9045705,24535
North Dakota,2009,639725,1816
Nebraska,2009,1772124,4867
New Hampshire,2009,1315419,3156
New Jersey,2009,8650548,9767
New Mexico,2009,1964860,2666
Nevada,2009,2545763,4346
New York,2009,19423896,40474
Ohio,2009,11511858,45513
Oklahoma,2009,3610073,14626
Oregon,2009,3727407,11822
Pennsylvania,2009,12516596,35388
Puerto Rico,2009,3940109,553
Rhode Island,2009,1057381,1999
South Carolina,2009,4416867,11029
South Dakota,2009,796513,2202
Tennessee,2009,6158953,26220
Texas,2009,23819042,34849
Utah,2009,2651816,8506
Virginia,2009,7721730,12926
Vermont,2009,620414,2430
Washington,2009,6465755,16189
Wisconsin,2009,5599420,13771
West Virginia,2009,1811403,12084
Wyoming,2009,523949,1188
Alabama,2010,4712651,14902
Alaska,2010,691189,1170
Arizona,2010,6246816,10993
Arkansas,2010,2872684,13819
California,2010,36637290,33341
Colorado,2010,4887061,8509
Connecticut,2010,3545837,3439
Delaware,2010,881278,1508
District of Columbia,2010,584400,32
Florida,2010,18511620,33760
Georgia,2010,9468815,19089
Hawaii,2010,1333591,711
Idaho,2010,1526797,6763
Illinois,2010,12745359,25422
Indiana,2010,6417398,26559
Iowa,2010,3016267,10168
Kansas,2010,2809329,8309
Kentucky,2010,4285828,28028
Louisiana,2010,4429940,11945
Maine,2010,1327665,6173
Maryland,2010,5696423,6006
Massachusetts,2010,6477096,9866
Michigan,2010,9952687,35195
Minnesota,2010,5241914,11108
Mississippi,2010,2941991,9080
Missouri,2010,5922314,23467
Montana,2010,973739,4082
Nebraska,2010,1799125,4921
Nevada,2010,2633331,4233
New Hampshire,2010,1313939,3046
New Jersey,2010,8721577,10741
