State,Year,Total Population
Alaska,2009,683142
Alabama,2009,4633360
Arkansas,2009,2838143
Arizona,2009,6324865
California,2009,36308527
Colorado,2009,4843211
Connecticut,2009,3494487
District of Columbia,2009,588433
Delaware,2009,863832
Florida,2009,18222420
Georgia,2009,9497667
Hawaii,2009,1280241
Iowa,2009,2978880
Idaho,2009,1492573
Illinois,2009,12785043
Indiana,2009,6342469
Kansas,2009,2777835
Kentucky,2009,4252000
Louisiana,2009,4411546
Massachusetts,2009,6511176
Maryland,2009,5637418
Maine,2009,1316380
Michigan,2009,10039208
Minnesota,2009,5188581
Missouri,2009,5904382
Mississippi,2009,2922240
Montana,2009,956257
North Carolina,2009,9045705
North Dakota,2009,639725
Nebraska,2009,1772124
New Hampshire,2009,1315419
New Jersey,2009,8650548
New Mexico,2009,1964860
Nevada,2009,2545763
New York,2009,19423896
Ohio,2009,11511858
Oklahoma,2009,3610073
Oregon,2009,3727407
Pennsylvania,2009,12516596
Puerto Rico,2009,3940109
Rhode Island,2009,1057381
South Carolina,2009,4416867
South Dakota,2009,796513
Tennessee,2009,6158953
Texas,2009,23819042
Utah,2009,2651816
Virginia,2009,7721730
Vermont,2009,620414
Washington,2009,6465755
Wisconsin,2009,5599420
West Virginia,2009,1811403
Wyoming,2009,523949
Alabama,2010,4712651
Alaska,2010,691189
Arizona,2010,6246816
Arkansas,2010,2872684
California,2010,36637290
Colorado,2010,4887061
Connecticut,2010,3545837
Delaware,2010,881278
District of Columbia,2010,584400
Florida,2010,18511620
Georgia,2010,9468815
Hawaii,2010,1333591
Idaho,2010,1526797
Illinois,2010,12745359
Indiana,2010,6417398
Iowa,2010,3016267
Kansas,2010,2809329
Kentucky,2010,4285828
Louisiana,2010,4429940
Maine,2010,1327665
Maryland,2010,5696423
Massachusetts,2010,6477096
Michigan,2010,9952687
Minnesota,2010,5241914
Mississippi,2010,2941991
Missouri,2010,5922314
Montana,2010,973739
Nebraska,2010,1799125
Nevada,2010,2633331
New Hampshire,2010,1313939
New Jersey,2010,8721577
New Mexico,2010,2013122
New York,2010,19229752
North Carolina,2010,9271178
North Dakota,2010,659858
Ohio,2010,11512431
Oklahoma,2010,3675339
Oregon,2010,3761925
Pennsylvania,2010,12612705
Rhode Island,2010,1056389
South Carolina,2010,4511428
South Dakota,2010,799462
Tennessee,2010,6234968
Texas,2010,24311891
Utah,2010,2657236
Vermont,2010,624258
Virginia,2010,7841754
Washington,2010,6561297
West Virginia,2010,1840802
Wisconsin,2010,5637947
Wyoming,2010,545579
Puerto Rico,2010,3762322
Alabama,2011,4747424
Alaska,2011,700703
Arizona,2011,6337373
Arkansas,2011,2895928
California,2011,36969200
Colorado,2011,4966061
Connecticut,2011,3558172
Delaware,2011,890856
District of Columbia,2011,593955
Florida,2011,18688787
Georgia,2011,9600612
Hawaii,2011,1346554
Idaho,2011,1549987
Illinois,2011,12790182
Indiana,2011,6454254
Iowa,2011,3032266
Kansas,2011,2830985
Kentucky,2011,4316040
Louisiana,2011,4484596
Maine,2011,1328543
Maryland,2011,5736545
Massachusetts,2011,6512227
Michigan,2011,9920621
Minnesota,2011,5278190
Mississippi,2011,2956700
Missouri,2011,5955802
Montana,2011,982854
Nebraska,2011,1813061
Nevada,2011,2673396
New Hampshire,2011,1315911
New Jersey,2011,8753064
New Mexico,2011,2037136
New York,2011,19302448
North Carolina,2011,9418736
North Dakota,2011,666783
Ohio,2011,11525536
Oklahoma,2011,3714520
Oregon,2011,3801991
Pennsylvania,2011,12660739
Rhode Island,2011,1053959
South Carolina,2011,4575864
South Dakota,2011,807697
Tennessee,2011,6297991
Texas,2011,24774187
Utah,2011,2715379
Vermont,2011,624958
Virginia,2011,7926192
Washington,2011,6652845
West Virginia,2011,1846372
Wisconsin,2011,5664893
Wyoming,2011,554697
Puerto Rico,2011,3742586
Alabama,2012,4777326
Alaska,2012,711139
Arizona,2012,6410979
Arkansas,2012,2916372
California,2012,37325068
Colorado,2012,5042853
Connecticut,2012,3572213
Delaware,2012,900131
District of Columbia,2012,605759
Florida,2012,18885152
Georgia,2012,9714569
Hawaii,2012,1362730
Idaho,2012,1567803
Illinois,2012,12823860
Indiana,2012,6485530
Iowa,2012,3047646
Kansas,2012,2851183
Kentucky,2012,4340167
Louisiana,2012,4529605
Maine,2012,1329084
Maryland,2012,5785496
Massachusetts,2012,6560595
Michigan,2012,9897264
Minnesota,2012,5313081
Mississippi,2012,2967620
Missouri,2012,5982413
Montana,2012,990785
Nebraska,2012,1827306
Nevada,2012,2704204
New Hampshire,2012,1317474
New Jersey,2012,8793888
New Mexico,2012,2055287
New York,2012,19398125
North Carolina,2012,9544249
North Dakota,2012,676253
Ohio,2012,11533561
Oklahoma,2012,3749005
Oregon,2012,3836628
Pennsylvania,2012,12699589
Rhode Island,2012,1052471
South Carolina,2012,4630351
