State,year,Poverty Variable,Labor Variable
Alaska,2009,64038,683142
Alabama,2009,757833,4633360
Arkansas,2009,488788,2838143
Arizona,2009,914040,6324865
California,2009,4694423,36308527
Colorado,2009,563574,4843211
Connecticut,2009,295608,3494487
District of Columbia,2009,102142,588433
Delaware,2009,88505,863832
Florida,2009,2346946,18222420
Georgia,2009,1384518,9497667
Hawaii,2009,117745,1280241
Iowa,2009,326922,2978880
Idaho,2009,196121,1492573
Illinois,2009,1549172,12785043
Indiana,2009,810520,6342469
Kansas,2009,328843,2777835
Kentucky,2009,719746,4252000
Louisiana,2009,789634,4411546
Massachusetts,2009,633667,6511176
Maryland,2009,449770,5637418
Maine,2009,161582,1316380
Michigan,2009,1417380,10039208
Minnesota,2009,506233,5188581
Missouri,2009,784278,5904382
Mississippi,2009,604204,2922240
Montana,2009,136969,956257
North Carolina,2009,1320816,9045705
North Dakota,2009,75114,639725
Nebraska,2009,201851,1772124
New Hampshire,2009,98780,1315419
New Jersey,2009,745925,8650548
New Mexico,2009,347165,1964860
Nevada,2009,278516,2545763
New York,2009,2615897,19423896
Ohio,2009,1526350,11511858
Oklahoma,2009,572111,3610073
Oregon,2009,496433,3727407
Pennsylvania,2009,1462191,12516596
Puerto Rico,2009,1752629,3940109
Rhode Island,2009,118618,1057381
South Carolina,2009,676555,4416867
South Dakota,2009,103752,796513
Tennessee,2009,967189,6158953
Texas,2009,3892532,23819042
Utah,2009,271944,2651816
Virginia,2009,752446,7721730
Vermont,2009,65749,620414
Washington,2009,749120,6465755
Wisconsin,2009,605566,5599420
West Virginia,2009,310368,1811403
Wyoming,2009,49051,523949
Alabama,2010,786544,4712651
Alaska,2010,64245,691189
Arizona,2010,933113,6246816
Arkansas,2010,502684,2872684
California,2010,4919945,36637290
Colorado,2010,584184,4887061
Connecticut,2010,314306,3545837
Delaware,2010,93857,881278
District of Columbia,2010,101767,584400
Florida,2010,2502365,18511620
Georgia,2010,1445752,9468815
Hawaii,2010,124627,1333591
Idaho,2010,203177,1526797
Illinois,2010,1572048,12745359
Indiana,2010,842540,6417398
Iowa,2010,338263,3016267
Kansas,2010,338792,2809329
Kentucky,2010,735782,4285828
Louisiana,2010,780359,4429940
Maine,2010,162358,1327665
Maryland,2010,476732,5696423
Massachusetts,2010,658391,6477096
Michigan,2010,1444004,9952687
Minnesota,2010,542133,5241914
Mississippi,2010,604272,2941991
Missouri,2010,802596,5922314
Montana,2010,138109,973739
Nebraska,2010,206227,1799125
Nevada,2010,308426,2633331
New Hampshire,2010,99527,1313939
New Jersey,2010,777968,8721577
New Mexico,2010,361771,2013122
New York,2010,2650166,19229752
North Carolina,2010,1399945,9271178
North Dakota,2010,78405,659858
Ohio,2010,1586292,11512431
Oklahoma,2010,577247,3675339
Oregon,2010,516271,3761925
Pennsylvania,2010,1509858,12612705
Rhode Island,2010,123396,1056389
South Carolina,2010,716537,4511428
South Dakota,2010,105819,799462
Tennessee,2010,1002467,6234968
Texas,2010,3972054,24311891
Utah,2010,283536,2657236
Vermont,2010,66726,624258
Virginia,2010,781516,7841754
Washington,2010,780009,6561297
West Virginia,2010,310495,1840802
Wisconsin,2010,637613,5637947
Wyoming,2010,52297,545579
Puerto Rico,2010,1680370,3762322
Alabama,2011,813385,4747424
Alaska,2011,65111,700703
Arizona,2011,1003575,6337373
Arkansas,2011,516822,2895928
California,2011,5211481,36969200
Colorado,2011,607727,4966061
Connecticut,2011,326771,3558172
Delaware,2011,96805,890856
District of Columbia,2011,101833,593955
Florida,2011,2679400,18688787
Georgia,2011,1541462,9600612
Hawaii,2011,134387,1346554
Idaho,2011,216734,1549987
Illinois,2011,1640428,12790182
Indiana,2011,885150,6454254
Iowa,2011,347536,3032266
Kansas,2011,347184,2830985
Kentucky,2011,756947,4316040
Louisiana,2011,800705,4484596
Maine,2011,165146,1328543
Maryland,2011,502610,5736545
Massachusetts,2011,673467,6512227
Michigan,2011,1518458,9920621
Minnesota,2011,565154,5278190
Mississippi,2011,617805,2956700
Missouri,2011,828615,5955802
Montana,2011,139904,982854
Nebraska,2011,211752,1813061
Nevada,2011,340903,2673396
New Hampshire,2011,101634,1315911
New Jersey,2011,805170,8753064
New Mexico,2011,378301,2037136
New York,2011,2722107,19302448
North Carolina,2011,1473556,9418736
North Dakota,2011,78888,666783
Ohio,2011,1654193,11525536
Oklahoma,2011,586046,3714520
Oregon,2011,550372,3801991
Pennsylvania,2011,1548869,12660739
Rhode Island,2011,129454,1053959
South Carolina,2011,753705,4575864
South Dakota,2011,107337,807697
Tennessee,2011,1036199,6297991
Texas,2011,4120101,24774187
Utah,2011,304125,2715379
Vermont,2011,67761,624958
Virginia,2011,818422,7926192
Washington,2011,816509,6652845
West Virginia,2011,313363,1846372
Wisconsin,2011,661655,5664893
Wyoming,2011,54900,554697
Puerto Rico,2011,1676055,3742586
Alabama,2012,842292,4777326
Alaska,2012,66631,711139
Arizona,2012,1074986,6410979
Arkansas,2012,530309,2916372
California,2012,5590100,37325068
Colorado,2012,633878,5042853
Connecticut,2012,344616,3572213
Delaware,2012,100655,900131
District of Columbia,2012,105606,605759
Florida,2012,2887151,18885152
Georgia,2012,1645272,9714569
Hawaii,2012,143001,1362730
Idaho,2012,231604,1567803
Illinois,2012,1710465,12823860
Indiana,2012,927123,6485530
Iowa,2012,360670,3047646
Kansas,2012,365656,2851183
Kentucky,2012,781485,4340167
Louisiana,2012,821224,4529605
Maine,2012,171644,1329084
Maryland,2012,532116,5785496
Massachusetts,2012,698286,6560595
Michigan,2012,1582022,9897264
Minnesota,2012,582335,5313081
Mississippi,2012,640132,2967620
Missouri,2012,869036,5982413
Montana,2012,143119,990785
Nebraska,2012,220244,1827306
Nevada,2012,379197,2704204
New Hampshire,2012,107800,1317474
New Jersey,2012,850559,8793888
New Mexico,2012,393139,2055287
New York,2012,2814409,19398125
North Carolina,2012,1563464,9544249
North Dakota,2012,78930,676253
Ohio,2012,1723485,11533561
Oklahoma,2012,602598,3749005
Oregon,2012,584059,3836628
Pennsylvania,2012,1604464,12699589
Rhode Island,2012,133462,1052471
South Carolina,2012,787788,4630351
South Dakota,2012,108319,815871
Tennessee,2012,1069017,6353226
Texas,2012,4270218,25208897
Utah,2012,329564,2766233
Vermont,2012,69411,625498
Virginia,2012,859032,8014955
Washington,2012,853960,6738714
West Virginia,2012,316526,1850481
Wisconsin,2012,690832,5687219
Wyoming,2012,60636,562803
Puerto Rico,2012,1658412,3716727
Alabama,2013,870631,4799277
Alaska,2013,69514,720316
Arizona,2013,1131901,6479703
Arkansas,2013,547328,2933369
California,2013,5885417,37659181
Colorado,2013,660874,5119329
Connecticut,2013,354348,3583561
Delaware,2013,103633,908446
District of Columbia,2013,109200,619371
Florida,2013,3052807,19091156
Georgia,2013,1736680,9810417
Hawaii,2013,149531,1376298
Idaho,2013,240298,1583364
Illinois,2013,1772333,12848554
Indiana,2013,969881,6514861
Iowa,2013,367414,3062553
Kansas,2013,382820,2868107
Kentucky,2013,796202,4361333
Louisiana,2013,846780,4567968
Maine,2013,175624,1328320
Maryland,2013,558329,5834299
Massachusetts,2013,725351,6605058
Michigan,2013,1625982,9886095
Minnesota,2013,598391,5347740
Mississippi,2013,653321,2976872
Missouri,2013,900929,6007182
Montana,2013,148528,998554
Nebraska,2013,228789,1841625
Nevada,2013,403314,2730066
New Hampshire,2013,110859,1319171
New Jersey,2013,900583,8832406
New Mexico,2013,413801,2069706
New York,2013,2903982,19487053
North Carolina,2013,1643389,9651380
North Dakota,2013,79433,689781
Ohio,2013,1773853,11549590
Oklahoma,2013,618683,3785742
Oregon,2013,614778,3868721
Pennsylvania,2013,1638820,12731381
Rhode Island,2013,137244,1051695
South Carolina,2013,820308,4679602
South Dakota,2013,112086,825198
Tennessee,2013,1101732,6402387
Texas,2013,4416829,25639373
Utah,2013,350205,2813673
Vermont,2013,70873,625904
Virginia,2013,887595,8100653
Washington,2013,893211,6819579
West Virginia,2013,321546,1853619
Wisconsin,2013,723730,5706871
Wyoming,2013,63743,570134
Puerto Rico,2013,1644128,3682966
Alabama,2014,889710,4817678
Alaska,2014,71866,728300
Arizona,2014,1169309,6561516
Arkansas,2014,549303,2947036
California,2014,6115244,38066920
Colorado,2014,663861,5197580
Connecticut,2014,364740,3592053
Delaware,2014,107101,917060
District of Columbia,2014,109378,633736
Florida,2014,3159259,19361792
Georgia,2014,1781388,9907756
Hawaii,2014,153752,1392704
Idaho,2014,244618,1599464
Illinois,2014,1810470,12868747
Indiana,2014,983826,6542411
Iowa,2014,373867,3078116
Kansas,2014,386062,2882946
Kentucky,2014,803866,4383272
Louisiana,2014,874638,4601049
Maine,2014,179878,1328535
Maryland,2014,573383,5887776
Massachusetts,2014,742784,6657291
Michigan,2014,1633316,9889024
Minnesota,2014,605761,5383661
Mississippi,2014,653726,2984345
Missouri,2014,912291,6028076
Montana,2014,150096,1006370
Nebraska,2014,231762,1855617
Nevada,2014,423578,2761584
New Hampshire,2014,113374,1321069
New Jersey,2014,934665,8874374
New Mexico,2014,426116,2080085
New York,2014,2978521,19594330
North Carolina,2014,1669147,9750405
North Dakota,2014,80865,704925
Ohio,2014,1790564,11560380
Oklahoma,2014,625508,3818851
Oregon,2014,638816,3900343
Pennsylvania,2014,1667858,12758729
Rhode Island,2014,143996,1053252
South Carolina,2014,840141,4727273
South Dakota,2014,114444,834708
Tennessee,2014,1121344,6451365
Texas,2014,4500034,26092033
Utah,2014,358682,2858111
Vermont,2014,72044,626358
Virginia,2014,914237,8185131
Washington,2014,916364,6899123
West Virginia,2014,326225,1853881
Wisconsin,2014,738557,5724692
Wyoming,2014,65271,575251
Puerto Rico,2014,1630965,3638965
Alabama,2015,887260,4830620
Alaska,2015,72957,733375
Arizona,2015,1180690,6641928
Arkansas,2015,553644,2958208
California,2015,6135142,38421464
Colorado,2015,653969,5278906
Connecticut,2015,366351,3593222
Delaware,2015,108315,926454
District of Columbia,2015,110365,647484
Florida,2015,3180109,19645772
Georgia,2015,1788947,10006693
Hawaii,2015,153944,1406299
Idaho,2015,245177,1616547
Illinois,2015,1801118,12873761
Indiana,2015,978043,6568645
Iowa,2015,373883,3093526
Kansas,2015,381353,2892987
Kentucky,2015,805841,4397353
Louisiana,2015,888280,4625253
Maine,2015,180278,1329100
Maryland,2015,576805,5930538
Massachusetts,2015,748905,6705586
Michigan,2015,1616870,9900571
Minnesota,2015,596662,5419171
Mississippi,2015,651545,2988081
Missouri,2015,915972,6045448
Montana,2015,150586,1014699
Nebraska,2015,231115,1869365
Nevada,2015,426337,2798636
New Hampshire,2015,113840,1324201
New Jersey,2015,944847,8904413
New Mexico,2015,429361,2084117
New York,2015,3005943,19673174
North Carolina,2015,1667465,9845333
North Dakota,2015,79758,721640
Ohio,2015,1775836,11575977
Oklahoma,2015,624043,3849733
Oregon,2015,636947,3939233
Pennsylvania,2015,1666569,12779559
Rhode Island,2015,144223,1053661
South Carolina,2015,830901,4777576
South Dakota,2015,114907,843190
Tennessee,2015,1117594,6499615
Texas,2015,4472451,26538614
Utah,2015,351601,2903379
Vermont,2015,69233,626604
Virginia,2015,921822,8256630
Washington,2015,908512,6985464
West Virginia,2015,323384,1851420
Wisconsin,2015,724348,5742117
Wyoming,2015,64995,579679
Puerto Rico,2015,1616117,3583073
Puerto Rico,2017,1543220,3468963
Alabama,2017,849699,4850771
Alaska,2017,73380,738565
Arizona,2017,1128046,6809946
Arkansas,2017,524211,2977944
California,2017,5773408,38982847
Colorado,2017,612143,5436519
Connecticut,2017,350783,3594478
District of Columbia,2017,111025,672391
Delaware,2017,111304,943732
Florida,2017,3070972,20278447
Georgia,2017,1679030,10201635
Hawaii,2017,143148,1421658
Idaho,2017,236000,1657375
Illinois,2017,1698613,12854526
Indiana,2017,933540,6614418
Iowa,2017,361343,3118102
Kansas,2017,361285,2903820
Kentucky,2017,783586,4424376
Maine,2017,166904,1330158
Louisiana,2017,887574,4663461
Massachusetts,2017,727546,6789319
Maryland,2017,566966,5996079
Michigan,2017,1510841,9925568
Minnesota,2017,560995,5490726
Mississippi,2017,620007,2986220
Missouri,2017,861679,6075300
Montana,2017,144198,1029862
Nebraska,2017,220330,1893921
New Hampshire,2017,104470,1331848
Nevada,2017,405263,2887725
New Jersey,2017,938252,8960161
New Mexico,2017,420293,2084828
New York,2017,2908471,19798228
North Carolina,2017,1579871,10052564
North Dakota,2017,79374,745475
Ohio,2017,1683890,11609756
Oklahoma,2017,612714,3896251
Oregon,2017,587248,4025127
Pennsylvania,2017,1623537,12790505
Rhode Island,2017,136126,1056138
South Carolina,2017,790657,4893444
South Dakota,2017,114885,855444
Tennessee,2017,1072360,6597381
Texas,2017,4291384,27419612
Utah,2017,324856,2993941
Vermont,2017,68144,624636
Virginia,2017,906838,8365952
West Virginia,2017,317089,1836843
Washington,2017,859950,7169967
Wyoming,2017,63398,583200
Wisconsin,2017,692719,5763217
Alabama,2016,868666,4841164
Alaska,2016,72826,736855
Arizona,2016,1165636,6728577
Arkansas,2016,542431,2968472
California,2016,6004257,38654206
Colorado,2016,637938,5359295
Connecticut,2016,360464,3588570
Delaware,2016,109448,934695
District of Columbia,2016,112060,659009
Florida,2016,3139258,19934451
Georgia,2016,1746894,10099320
Hawaii,2016,148577,1413673
Idaho,2016,244585,1635483
Illinois,2016,1753731,12851684
Indiana,2016,957694,6589578
Iowa,2016,369828,3106589
Kansas,2016,373162,2898292
Kentucky,2016,804139,4411989
Louisiana,2016,889570,4645670
Maine,2016,174405,1329923
Maryland,2016,576835,5959902
Massachusetts,2016,740836,6742143
Michigan,2016,1575066,9909600
Minnesota,2016,577196,5450868
Mississippi,2016,645553,2989192
Missouri,2016,897755,6059651
Montana,2016,148677,1023391
Nebraska,2016,227021,1881259
Nevada,2016,417257,2839172
New Hampshire,2016,109690,1327503
New Jersey,2016,949341,8915456
New Mexico,2016,426814,2082669
New York,2016,2967564,19697457
North Carolina,2016,1631704,9940828
North Dakota,2016,79314,736162
Ohio,2016,1732839,11586941
Oklahoma,2016,621155,3875589
Oregon,2016,614223,3982267
Pennsylvania,2016,1647762,12783977
Rhode Island,2016,140161,1054491
South Carolina,2016,806422,4834605
South Dakota,2016,115300,851058
Tennessee,2016,1100169,6548009
Texas,2016,4397307,26956435
Utah,2016,338808,2948427
Vermont,2016,69673,626249
Virginia,2016,921664,8310301
Washington,2016,883256,7073146
West Virginia,2016,318060,1846092
Wisconsin,2016,713472,5754798
Wyoming,2016,65762,583029
Puerto Rico,2016,1577075,3529385
Puerto Rico,2017,1543220,3468963
Alabama,2017,849699,4850771
Alaska,2017,73380,738565
Arizona,2017,1128046,6809946
Arkansas,2017,524211,2977944
California,2017,5773408,38982847
Colorado,2017,612143,5436519
Connecticut,2017,350783,3594478
District of Columbia,2017,111025,672391
Delaware,2017,111304,943732
Florida,2017,3070972,20278447
Georgia,2017,1679030,10201635
Hawaii,2017,143148,1421658
Idaho,2017,236000,1657375
Illinois,2017,1698613,12854526
Indiana,2017,933540,6614418
Iowa,2017,361343,3118102
Kansas,2017,361285,2903820
Kentucky,2017,783586,4424376
Maine,2017,166904,1330158
Louisiana,2017,887574,4663461
Massachusetts,2017,727546,6789319
Maryland,2017,566966,5996079
Michigan,2017,1510841,9925568
Minnesota,2017,560995,5490726
Mississippi,2017,620007,2986220
Missouri,2017,861679,6075300
Montana,2017,144198,1029862
Nebraska,2017,220330,1893921
New Hampshire,2017,104470,1331848
Nevada,2017,405263,2887725
New Jersey,2017,938252,8960161
New Mexico,2017,420293,2084828
New York,2017,2908471,19798228
North Carolina,2017,1579871,10052564
North Dakota,2017,79374,745475
Ohio,2017,1683890,11609756
Oklahoma,2017,612714,3896251
Oregon,2017,587248,4025127
Pennsylvania,2017,1623537,12790505
Rhode Island,2017,136126,1056138
South Carolina,2017,790657,4893444
South Dakota,2017,114885,855444
Tennessee,2017,1072360,6597381
Texas,2017,4291384,27419612
Utah,2017,324856,2993941
Vermont,2017,68144,624636
Virginia,2017,906838,8365952
West Virginia,2017,317089,1836843
Washington,2017,859950,7169967
Wyoming,2017,63398,583200
Wisconsin,2017,692719,5763217
Minnesota,2018,547442,5527358
Mississippi,2018,599795,2988762
Missouri,2018,837930,6090062
Montana,2018,139063,1041732
Nebraska,2018,213790,1904760
Nevada,2018,393431,2922849
New Hampshire,2018,102352,1343622
New Jersey,2018,904132,8881845
New Mexico,2018,410389,2092434
New York,2018,2797985,19618453
North Carolina,2018,1523949,10155624
North Dakota,2018,79270,752201
Ohio,2018,1645986,11641879
Oklahoma,2018,607810,3918137
Oregon,2018,565247,4081943
Pennsylvania,2018,1578949,12791181
Rhode Island,2018,133055,1056611
South Carolina,2018,770632,4955925
South Dakota,2018,113144,864289
Tennessee,2018,1046508,6651089
Texas,2018,4213938,27885195
Utah,2018,309904,3045350
Vermont,2018,67034,624977
Virginia,2018,893580,8413774
West Virginia,2018,315464,1829054
Washington,2018,821621,7294336
Wisconsin,2018,668220,5778394
Wyoming,2018,63311,581836
Puerto Rico,2018,1495160,3386941
Alabama,2018,829400,4864680
Alaska,2018,77865,738516
Arizona,2018,1092192,6946685
Arkansas,2018,510337,2990671
California,2018,5487141,39148760
Colorado,2018,590504,5531141
Connecticut,2018,348449,3581504
Delaware,2018,109798,949495
District of Columbia,2018,109497,684498
Florida,2018,2983851,20598139
Georgia,2018,1607714,10297484
Idaho,2018,228882,1687809
