State,Latitude,Longitude,Region,Sub Region
Wisconsin,44.5,-89.5,Midwest,East North Central
West Virginia,39,-80.5,South,South Atlantic
Vermont,44,-72.699997,Northeast,New England
Texas,31,-100,South,West South Central
South Dakota,44.5,-100,Midwest,West North Central
Rhode Island,41.700001,-71.5,Northeast,New England
Oregon,44,-120.5,West,Pacific
New York,43,-75,Northeast,Mid Atlantic
New Hampshire,44,-71.5,Northeast,New England
Nebraska,41.5,-100,Midwest,West North Central
Kansas,38.5,-98,Midwest,West North Central
Mississippi,33,-90,South,East South Central
Illinois,40,-89,Midwest,East North Central
Delaware,39,-75.5,South,South Atlantic
Connecticut,41.599998,-72.699997,Northeast,New England
Arkansas,34.799999,-92.199997,South,West South Central
Indiana,40.273502,-86.126976,Midwest,East North Central
Missouri,38.573936,-92.60376,Midwest,West North Central
Florida,27.994402,-81.760254,South,South Atlantic
Nevada,39.876019,-117.224121,West,Mountain
Maine,45.367584,-68.972168,Northeast,New England
Michigan,44.182205,-84.506836,Midwest,East North Central
Georgia,33.247875,-83.441162,South,South Atlantic
Hawaii,20.716179,-158.214676,West,Pacific
Alaska,66.160507,-153.369141,West,Pacific
Tennessee,35.860119,-86.660156,South,East South Central
Virginia,37.926868,-78.024902,South,South Atlantic
New Jersey,39.833851,-74.871826,Northeast,Mid Atlantic
Kentucky,37.839333,-84.27002,South,East South Central
North Dakota,47.650589,-100.437012,Midwest,West North Central
Minnesota,46.39241,-94.63623,Midwest,West North Central
Oklahoma,36.084621,-96.921387,South,West South Central
Montana,46.96526,-109.533691,West,Mountain
Washington,47.751076,-120.740135,West,Pacific
Utah,39.41922,-111.950684,West,Mountain
Colorado,39.113014,-105.358887,West,Mountain
Ohio,40.367474,-82.996216,Midwest,East North Central
Alabama,32.31823,-86.902298,South,East South Central
Iowa,42.032974,-93.581543,Midwest,West North Central
New Mexico,34.307144,-106.018066,West,Mountain
South Carolina,33.836082,-81.163727,South,South Atlantic
Pennsylvania,41.203323,-77.194527,Northeast,Mid Atlantic
Arizona,34.048927,-111.093735,West,Mountain
Maryland,39.045753,-76.641273,South,South Atlantic
Massachusetts,42.407211,-71.382439,Northeast,New England
California,36.778259,-119.417931,West,Pacific
Idaho,44.068203,-114.742043,West,Mountain
Wyoming,43.07597,-107.290283,West,Mountain
North Carolina,35.782169,-80.793457,South,South Atlantic
Louisiana,30.39183,-92.329102,South,West South Central
