State,year,Total Population,White (pop),Black (pop),Native/Indigenous (pop),Asian (pop),Pacfic Islander (pop),Mixed Race (pop),Hispanic (pop),White (%),Black (%),Native/Indigenous (%),Asian (%),Pacfic Islander (%),Mixed Race (%),Hispanic (%)
Alaska,2009,683142,467650,25161,91939,0.04666379757063685,4269,50632,39661,0.685,0.037,0.135,0.0,0.006,0.074,0.058
Alabama,2009,4633360,3256941,1209938,22969,0.010069366507243124,2025,56490,130220,0.703,0.261,0.005,0.0,0.0,0.012,0.028
Arkansas,2009,2838143,2228798,439355,19233,0.010964916144112541,2505,49997,153630,0.785,0.155,0.007,0.0,0.001,0.018,0.054
Arizona,2009,6324865,4906936,227282,284265,0.024237829582133375,11045,164255,1881878,0.776,0.036,0.045,0.0,0.002,0.026,0.298
California,2009,36308527,22258042,2249404,283031,0.12320224392468469,132535,1272989,13102161,0.613,0.062,0.008,0.0,0.004,0.035,0.361
Colorado,2009,4843211,4055379,186598,46018,0.025878699069687445,5030,142611,955664,0.837,0.039,0.01,0.0,0.001,0.029,0.197
Connecticut,2009,3494487,2792362,330186,8169,0.033628684267533404,1292,69630,406476,0.799,0.094,0.002,0.0,0.0,0.02,0.116
District of Columbia,2009,588433,210983,324631,1573,0.029636339226386012,426,9446,49813,0.359,0.552,0.003,0.0,0.001,0.016,0.085
Delaware,2009,863832,626289,176743,2588,0.029038053695626002,134,14894,57807,0.725,0.205,0.003,0.0,0.0,0.017,0.067
Florida,2009,18222420,13958847,2799699,54985,0.022924507282786808,9959,331066,3746278,0.766,0.154,0.003,0.0,0.001,0.018,0.206
Georgia,2009,9497667,5899345,2818524,23947,0.028304951100096478,4988,132569,735125,0.621,0.297,0.003,0.0,0.001,0.014,0.077
Hawaii,2009,1280241,344681,30995,3781,0.38522278227302514,112940,278005,110653,0.269,0.024,0.003,0.0,0.088,0.217,0.086
Iowa,2009,2978880,2759828,72103,9404,0.015808626060801374,832,43466,122103,0.926,0.024,0.003,0.0,0.0,0.015,0.041
Idaho,2009,1492573,1374465,9030,18352,0.011214861852653102,1827,36454,149979,0.921,0.006,0.012,0.0,0.001,0.024,0.1
Illinois,2009,12785043,9190854,1875767,23208,0.04213736316725724,3459,208058,1872619,0.719,0.147,0.002,0.0,0.0,0.016,0.146
Indiana,2009,6342469,5436153,548998,14492,0.013475824635485014,1463,111612,321320,0.857,0.087,0.002,0.0,0.0,0.018,0.051
Kansas,2009,2777835,2382407,157121,22722,0.021684153306441887,1614,72533,244614,0.858,0.057,0.008,0.0,0.001,0.026,0.088
Kentucky,2009,4252000,3783499,318974,8193,0.010088428974600189,2839,58212,101044,0.89,0.075,0.002,0.0,0.001,0.014,0.024
Louisiana,2009,4411546,2821956,1405639,24909,0.01434961802506423,1031,52208,146073,0.64,0.319,0.006,0.0,0.0,0.012,0.033
Massachusetts,2009,6511176,5390474,399224,12811,0.04794018776331649,2346,123134,543149,0.828,0.061,0.002,0.0,0.0,0.019,0.083
Maryland,2009,5637418,3433516,1625880,15394,0.04926581637196319,3010,114120,371306,0.609,0.288,0.003,0.0,0.001,0.02,0.066
Maine,2009,1316380,1254176,15458,6636,0.009407617861103936,287,22897,16644,0.953,0.012,0.005,0.0,0.0,0.017,0.013
Michigan,2009,10039208,7999359,1405515,52270,0.0234522484243777,2930,188168,406161,0.797,0.14,0.005,0.0,0.0,0.019,0.04
Minnesota,2009,5188581,4551190,224453,54446,0.03594258237464155,2297,93182,208919,0.877,0.043,0.01,0.0,0.0,0.018,0.04
